# HELP go_gc_duration_seconds A summary of the pause duration of garbage collection cycles.
# TYPE go_gc_duration_seconds summary
go_gc_duration_seconds{quantile="0"} 5e-06
go_gc_duration_seconds{quantile="1"} 3.1e-05
go_gc_duration_seconds_sum 0.000512
go_gc_duration_seconds_count 21
# HELP windows_cpu_time_total Total CPU time spent in each mode.
# TYPE windows_cpu_time_total counter
windows_cpu_time_total{core="0,0",mode="idle"} 812734.11
windows_cpu_time_total{core="0,0",mode="user"} 34521.55
# HELP windows_cs_hostname Labelled system hostname information as provided by ComputerSystem.DNSHostName and ComputerSystem.Domain
# TYPE windows_cs_hostname gauge
windows_cs_hostname{domain="CORP.LOCAL",fqdn="WIN-APP01.corp.local",hostname="WIN-APP01"} 1
# HELP windows_exporter_build_info A metric with a constant '1' value labeled by version, revision, branch, goversion, and goos from which windows_exporter was built.
# TYPE windows_exporter_build_info gauge
windows_exporter_build_info{branch="HEAD",goversion="go1.22.5",revision="9b6a7cbe",version="0.25.1"} 1
# HELP windows_os_info OperatingSystem information
# TYPE windows_os_info gauge
windows_os_info{build_number="20348",major_version="10",minor_version="0",product="Windows Server 2022 Standard"} 1
# HELP windows_service_state Service state
# TYPE windows_service_state gauge
windows_service_state{name="W3SVC",state="running"} 1
